日期,公告內容
103/01/15,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.15~17 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/18,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.18~19 因開爐氮氣吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/20,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.20~22 因開爐氮氣吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/23,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.23~24 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/25,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.25~26 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/27,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.27 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/29,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.1.29 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/01/30,林園廠新三輕組輕油裂解程序(M33)試車，OCU工場停爐氮氣吹驅，四輕組輕油裂解程序(M04)，丁二烯工場壓縮機C4201S拆卸氮氣吹驅，廢氣燃燒塔103.1.30 廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/01,林園廠新三輕組輕油裂解程序(M33)試車，四輕組開爐，輕油裂解程序(M04)廢氣燃燒塔103.2.1 因開爐氣體吹驅廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/06,林園廠新三輕組輕油裂解程序(M33)試車，四輕組輕油裂解程序(M04) 廢氣回收壓縮機因動火停機，廢氣燃燒塔103.2.6 廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/08,林園廠新三輕組輕油裂解程序(M33) 停爐前準備，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.8~103.2.9 總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)   
103/02/10,林園廠新三輕組輕油裂解程序(M33) 停爐，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.10~103.2.12 總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/13,林園廠新三輕組輕油裂解程序(M33) 停爐，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.13~103.2.14 總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/15,林園廠新三輕組輕油裂解程序(M33) 停爐，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.15~103.2.16 總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/17,林園廠新三輕組輕油裂解程序(M33) 停爐，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.17~103.2.19總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/20,林園廠新三輕組輕油裂解程序(M33) 停爐，四輕組輕油裂解程序(M04) 正常操作，停爐期間廢氣燃燒塔103.2.20~103.2.21總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/02/21,林園廠新三輕組輕油裂解程序(M33) 停爐吹驅，四輕組輕油裂解程序(M04) 2月21日 21:43 丁二烯工場(M19) C5101壓縮機跳車至2月23日 13:00檢修完畢，廢氣燃燒塔103.2.22~103.2.23總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)   
103/02/24,林園廠新三輕組輕油裂解程序(M33) 停爐吹驅，四輕組輕油裂解程序(M04)正常操作，廢氣燃燒塔103.2.24~103.2.25總廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/04/02,林園廠新三輕組輕油裂解程序(M33) 乙烯球槽吹驅，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.2廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/04/08,林園廠新三輕組輕油裂解程序(M33) 開車前設備氮氣及製程氣吹驅，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.8~10廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/04/11,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.11廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/04/12,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.12~13廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續加強管理，並啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
