日期(YYY-MM-DD),硫氧化物(PPB),氮氧化物(PPB),硫化氫(PPB),臭氧(PPB),總碳氫(PPM),懸浮微粒(UGM),溫度(C),噪音(dBA)
106-05-01,1.7,25,6.3,65.8,2.8,38.4,26.7,56.9
106-05-02,2.5,36.5,6.3,41.7,2.8,52.9,27.1,57.4
106-05-03,4.3,50.1,7.7,31.2,3.1,53.1,27.7,57.3
106-05-04,2.8,49.1,6.3,27.4,2.7,55.4,28.1,56.4
106-05-05,5.6,50.7,7.9,25.4,2.9,49.6,28.7,55.8
106-05-06,2.4,26.9,5.7,50.6,2.6,36.5,26.8,56.1
106-05-07,2.5,24.9,6.8,54.2,2.7,62.2,26.7,56.4
106-05-08,1.3,31,7,46.1,2.5,75.3,28.4,56.3
106-05-09,1.9,47.9,5.5,29.8,2.7,42.6,27.5,56.3
106-05-10,2.4,39.1,4.6,39.5,2.8,30.3,30.3,56.4
106-05-11,3.4,48.1,6.1,37.9,2.7,49.1,30,55.8
106-05-12,1.9,37.5,7,30.8,2.6,41.7,29.3,55.9
106-05-13,1.8,24.5,5.3,40.8,2.4,26.3,27.1,55.2
106-05-14,2.1,27.2,6.5,45.3,2.6,26.9,28,55.3
106-05-15,1.7,28.5,5.8,48.9,2.8,21.7,27.8,56.8
106-05-16,1.3,26.7,6.4,60.5,2.7,13,23,56.3
106-05-17,1.8,27.7,6.1,67.2,2.7,23.8,25.8,57.6
106-05-18,1.9,30.3,2.9,63.5,2.7,23.7,28.6,58.9
106-05-19,1.7,32.2,1.6,54.8,2.7,23,27.6,58.9
106-05-20,1.7,25.7,2.1,61.6,2.7,15.7,27.3,58.2
106-05-21,1.9,22.3,1.9,55.2,2.8,10.4,28.2,57.5
106-05-22,2.4,31.1,2.2,46.4,2.7,17.3,29,58
106-05-23,2.1,37.6,2.1,41.2,2.5,34.6,28.9,56.8
106-05-24,1.7,33.8,1.9,43.4,2.4,21.2,28.4,56.7
106-05-25,1.4,28,2.1,54,2.7,25.5,24.7,57.5
106-05-26,2.4,29.9,2.1,55.6,2.8,24.8,25.8,57.8
106-05-27,1.6,24,1.9,71.2,2.9,17.5,25.7,58.8
106-05-28,1.3,19.9,1.9,73,3,13.4,27.3,58.4
106-05-29,1.5,23.5,1.7,53.5,2.9,10.9,29.5,58.4
106-05-30,1.5,18.5,1.8,62.3,2.6,23.6,29.2,55.7
106-05-31,1.8,34.3,2.8,39.8,2.4,28.1,29.6,56.2
106-06-01,1.3,28.5,1,37.5,2.4,23.9,31,56.1
106-06-02,1.1,30,1.2,40.4,2.5,14.1,27.8,56.4
106-06-03,1.3,30.4,0.6,41.9,2.9,14.2,26.5,56.6
106-06-04,1,29.3,1,38.6,2.5,15.9,27.2,54.2
106-06-05,2,40.5,2.2,37.6,2.6,33.4,28.6,57
106-06-06,2.9,59.4,2.3,41.6,2.9,48.8,30.4,57
106-06-07,2.3,37.7,2.3,34.5,2.7,34,31.4,56.8
106-06-08,3.1,49.1,3.9,45.4,2.9,34.9,30.8,57.4
106-06-09,2.2,32.8,1.8,44.5,2.9,40.8,31.1,56.9
106-06-10,1.6,26.8,0.8,44.6,2.6,35.7,31.5,56.1
106-06-11,1.8,19,1.8,43.7,2.3,25.8,31,55.9
106-06-12,2.4,33.6,2,35.7,2.6,26.6,30.1,57.4
106-06-13,2.1,32.4,1.7,41.6,2.4,30.6,30.8,57.1
106-06-14,1.9,28.2,0.9,40.4,2.2,13,27.2,56
106-06-15,1.9,29,2.2,50.5,2.5,11.7,25,56
106-06-16,1.7,44,1.3,30.2,1.5,14.9,26.4,54.7
106-06-17,1.5,28.8,0.7,34.4,1.6,10.1,25.9,54.1
106-06-18,1.6,24.3,1.1,31.3,2.3,11.4,26.6,54.8
106-06-19,1.6,35,1.6,24.3,1.9,27.5,28.4,56.1
106-06-20,1.7,35.2,0.6,23.5,0.8,28.1,30.5,56.7
106-06-21,1.3,29.6,0.6,24.6,1.1,24.2,30.9,56.7
106-06-22,1.4,32.6,1.4,25,1.4,28.8,31.4,56.4
106-06-23,1.4,43.5,1.5,27.3,1.6,27.1,31.3,56.1
106-06-24,3.2,34,2.8,32.6,1.3,24.1,31.5,55.6
106-06-25,1.6,25.9,1.3,34.6,0.6,27.1,31.9,55.3
106-06-26,1.4,29.1,1.5,36.8,0.5,27.6,32.2,56.8
106-06-27,2.3,35.5,2.9,35.1,0.6,27.4,31.3,56.5
106-06-28,2.9,37.7,3.5,40.7,2.9,36.4,31.3,56.4
106-06-29,3.6,39,2.8,38.2,3.5,42.7,30.8,56.5
106-06-30,3,35.8,3.7,49.1,3.5,40.3,30.3,56.4
106-07-01,2.7,27.0,1.7,51.9,2.9,30.6,30.0,56.4
106-07-02,2.6,23.1,3.2,43.8,2.9,19.9,30.6,55.6
106-07-03,2.0,31.5,0.9,38.0,2.8,22.4,31.5,56.6
106-07-04,2.9,29.9,2.7,45.7,3.0,31.4,30.7,57.3
106-07-05,3.4,34.8,3.7,39.1,3.1,26.0,31.1,57.6
106-07-06,2.4,28.4,4.3,37.2,2.8,24.0,31.3,56.7
106-07-07,2.5,30.1,2.7,44.9,3.0,28.2,29.8,56.9
106-07-08,1.9,28.9,2.2,41.0,3.0,23.9,29.4,56.5
106-07-09,1.9,21.3,1.2,40.7,2.8,19.6,31.3,56.0
106-07-10,1.8,27.6,1.3,41.1,2.7,24.6,31.9,56.0
106-07-11,2.5,35.2,2.2,42.9,2.9,35.7,30.5,56.8
106-07-12,3.8,35.4,1.3,37.6,2.9,35.9,31.1,56.8
106-07-13,2.8,29.7,0.2,38.3,2.9,26.4,31.8,56.6
106-07-14,3.4,29.9,1.6,54.5,2.8,32.6,31.8,57.4
106-07-15,2.7,20.8,1.9,41.6,2.9,23.5,32.1,57.1
106-07-16,2.2,19.2,1.9,47.2,2.8,28.9,32.0,56.1
106-07-17,2.8,30.7,2.2,51.3,2.8,36.5,31.6,57.8
106-07-18,4.6,31.6,2.2,43.1,2.8,34.6,32.0,57.1
106-07-19,4.2,31.8,2.1,38.7,2.8,31.7,32.1,57.0
106-07-20,3.3,25.7,4.2,42.3,2.8,26.3,32.4,56.9
106-07-21,3.1,30.0,0.9,35.5,3.1,29.3,32.3,57.3
106-07-22,2.6,23.2,8.8,24.2,3.3,17.6,33.3,57.1
106-07-23,2.6,21.7,9.3,39.9,3.0,26.8,32.8,56.4
106-07-24,2.2,29.4,9.2,37.7,2.7,37.1,32.5,56.8
106-07-25,1.8,28.8,7.1,30.2,2.6,23.4,32.8,57.6
106-07-26,3.3,34.3,6.3,36.0,2.8,34.9,31.1,56.5
106-07-27,2.6,29.4,5.5,30.8,3.1,32.3,31.4,57.7
106-07-28,3.0,29.4,3.6,21.0,3.5,14.6,33.3,58.4
106-07-29,2.6,21.2,1.5,26.0,3.1,16.2,31.2,58.4
106-07-30,2.0,14.3,0.7,32.8,2.9,12.5,32.2,57.1
106-07-31,2.7,33.3,1.5,27.8,2.9,20.9,29.8,57.5
106-08-01,3.6,42.5,1.4,30.0,3.1,35.0,31.1,57.4
106-08-02,3.3,38.9,3.0,33.5,3.1,37.1,30.5,57.3
106-08-03,2.5,34.6,0.8,37.9,3.0,38.2,31.4,57.0
106-08-04,2.7,34.6,1.1,31.1,2.7,37.2,32.1,56.9
106-08-05,2.3,26.1,1.4,31.6,2.3,35.4,32.6,55.4
106-08-06,2.2,24.9,1.0,34.0,2.2,34.4,33.0,55.2
106-08-07,1.9,29.5,2.3,34.8,2.2,32.8,33.2,56.0
106-08-08,2.1,37.0,2.0,27.3,2.2,31.0,33.4,56.2
106-08-09,2.1,30.6,1.1,28.1,2.2,29.6,33.2,56.2
106-08-10,2.0,27.8,1.8,30.6,2.2,28.1,33.1,56.1
106-08-11,2.2,31.0,1.0,33.2,2.2,31.6,33.0,55.9
106-08-12,2.2,26.1,0.9,32.2,2.2,31.6,32.8,55.2
106-08-13,2.3,24.5,1.7,32.2,2.1,31.2,32.3,54.9
106-08-14,2.3,28.9,1.8,28.8,2.2,26.2,32.6,56.8
106-08-15,2.6,34.7,1.7,29.2,2.3,24.3,32.6,56.0
106-08-16,3.4,34.0,1.9,42.1,2.5,37.2,32.6,56.4
106-08-17,4.3,38.4,2.0,35.4,2.4,30.5,31.8,56.4
106-08-18,3.7,30.2,2.1,53.0,2.4,38.1,31.8,56.4
106-08-19,4.8,32.3,1.4,53.1,2.5,51.7,31.7,55.6
106-08-20,3.2,23.2,1.2,45.2,2.4,30.0,32.2,56.1
106-08-21,3.1,32.6,3.2,30.0,3.2,21.0,32.7,58.0
106-08-22,2.5,22.8,4.5,31.5,2.8,15.0,33.0,58.3
106-08-23,2.7,30.1,2.7,38.8,2.5,23.0,31.3,56.9
106-08-24,2.8,33.9,1.8,40.7,2.6,32.3,31.5,56.8
106-08-25,2.7,28.8,2.1,43.3,2.4,27.4,32.0,57.0
106-08-26,2.6,22.3,4.0,28.1,2.8,16.8,33.4,57.4
106-08-27,2.4,19.1,2.7,46.1,2.5,26.7,31.6,56.4
106-08-28,2.5,26.5,3.0,34.4,2.6,22.4,31.9,57.3
106-08-29,2.7,31.4,6.6,26.2,2.8,16.9,33.1,57.7
106-08-30,2.9,41.0,11.5,24.3,2.8,16.5,32.8,57.7
106-08-31,3.7,42.7,7.8,33.5,2.7,24.7,32.2,58.1
106-09-01,  3.3, 34.9, 3.1, 49.2, 2.6, 29.4, 30.9, 58.0
106-09-02,  2.7, 28.0, 2.8, 45.4, 2.9, 18.8, 29.3, 57.5
106-09-03,  2.3, 26.1, 3.2, 41.3, 3.5, 16.7, 28.8, 56.8
106-09-04,  3.5, 32.1, 2.7, 40.9, 2.7, 30.6, 30.3, 56.8
106-09-05,  4.1, 31.9, 2.3, 41.9, 2.9, 31.4, 31.8, 57.7
106-09-06,  3.0, 26.8, 1.9, 56.8, 2.8, 52.9, 32.3, 57.0
106-09-07,  2.1, 33.4, 1.9, 45.1, 2.6, 34.5, 31.7, 57.1
106-09-08,  2.2, 37.5, 3.0, 39.8, 2.8, 47.5, 31.2, 57.5
106-09-09,  2.7, 31.2, 1.8, 35.4, 2.8, 32.3, 30.1, 56.6
106-09-10,  4.1, 28.9, 2.5, 35.9, 3.1, 35.4, 30.8, 57.0
106-09-11,  2.8, 33.6, 1.7, 36.7, 2.8, 39.3, 31.5, 57.4
106-09-12,  5.5, 33.9, 2.8, 31.9, 2.9, 29.9, 32.1, 58.1
106-09-13,  2.1, 17.7, 1.7, 58.4, 2.5, 34.9, 28.8, 57.9
106-09-14,  2.2, 37.3, 1.6, 45.9, 2.3, 37.7, 28.6, 56.9
106-09-15,  2.4, 44.8, 1.9, 47.7, 2.2, 39.1, 31.1, 56.6
106-09-16,  5.3, 32.1, 1.5, 54.9, 2.1, 35.3, 30.8, 57.1
106-09-17,  5.0, 30.7, 2.8, 71.7, 2.2, 42.5, 29.5, 57.6
106-09-18,  6.7, 40.1, 4.3, 59.8, 3.0, 39.7, 29.9, 58.5
106-09-19,  5.0, 35.2, 2.4, 73.0, 2.6, 60.8, 30.4, 57.3
106-09-20,  5.1, 41.7, 1.9, 62.6, 2.1, 66.8, 31.4, 57.4
106-09-21,  4.6, 39.7, 2.3, 55.3, 1.9, 53.3, 31.4, 57.1
106-09-22,  4.1, 31.9, 1.9, 48.9, 1.4, 38.3, 31.4, 57.8
106-09-23,  3.1, 26.8, 2.4, 51.4, 2.2, 33.1, 32.6, 57.0
106-09-24,  2.6, 23.4, 1.8, 45.6, 2.4, 37.0, 31.9, 56.4
106-09-25,  2.1, 28.2, 1.4, 38.8, 2.6, 34.9, 31.7, 57.0
106-09-26,  2.4, 41.9, 2.1, 37.3, 2.4, 39.4, 32.6, 56.8
106-09-27,  3.2, 52.0, 2.5, 37.7, 2.4, 40.7, 33.0, 56.9
106-09-28,  3.3, 38.7, 1.2, 48.5, 2.3, 43.3, 31.7, 58.4
106-09-29,  6.3, 33.6, 3.2, 50.1, 2.4, 36.5, 31.5, 59.1
106-09-30, 25.0, 25.2, 5.5, 46.1, 3.0, 24.7, 32.4, 58.8
106-10-01,  6.9, 21.6, 3.2, 64.8, 2.5, 36.6, 31.9, 56.9
106-10-02,  3.7, 34.6, 1.9, 56.1, 2.2, 54.6, 31.8, 57.1
106-10-03, 11.9, 25.1, 2.7, 53.4, 1.8, 46.5, 31.4, 57.8
106-10-04, 11.0, 15.0, 1.9, 51.0, 1.1, 29.9, 28.4, 57.5
106-10-05,  8.7, 27.2, 3.1, 45.0, 1.6, 36.6, 30.6, 58.2
106-10-06,  2.8, 30.4, 2.6, 38.9, 1.5, 27.5, 31.5, 58.2
106-10-07,  2.3, 29.9, 2.1, 41.1, 2.1, 28.6, 30.2, 57.6
106-10-08,  2.8, 28.7, 2.3, 37.8, 3.0, 26.4, 31.1, 57.4
106-10-09,  2.5, 26.8, 3.7, 27.2, 4.7, 18.8, 32.7, 58.3
106-10-10,  2.2, 28.3, 4.4, 27.5, 5.2, 14.7, 32.6, 58.2
106-10-11,  2.6, 35.9, 3.6, 28.4, 4.3, 18.4, 31.5, 58.3
106-10-12,  2.0, 35.4, 3.7, 30.2, 2.6, 17.9, 27.9, 58.1
106-10-13,  1.2, 20.8, 2.0, 45.8, 2.4, 18.5, 26.8, 57.1
106-10-14,  1.5, 29.0, 2.5, 29.1, 2.5, 12.9, 28.7, 55.6
106-10-15,  1.3, 35.2, 2.4, 17.1, 2.4, 16.4, 28.0, 54.0
106-10-16,  1.5, 44.9, 2.1, 19.7, 2.5, 33.9, 29.1, 55.9
106-10-17,  1.3, 24.7, 1.3, 38.6, 2.5, 17.4, 27.5, 57.8
106-10-18,  1.4, 22.1, 1.1, 47.6, 2.7, 25.5, 26.6, 57.4
106-10-19,  1.1, 22.3, 0.5, 49.0, 2.5, 26.2, 25.6, 42.6
106-10-20,  1.6, 22.2, 1.4, 55.0, 2.2, 23.5, 24.6, 47.1
106-10-21,  1.6, 14.5, 2.0, 70.7, 2.0, 37.1, 23.7, 56.9
106-10-22,  1.5, 13.7, 2.0, 75.8, 3.3, 44.3, 23.1, 46.6
106-10-23,  3.1, 30.2, 1.1, 63.7, 4.0, 66.8, 24.0, 48.2
106-10-24,  4.2, 38.9, 3.9, 49.3, 3.6, 52.4, 24.1, 57.9
106-10-25,  7.0, 42.7, 3.1, 49.7, 2.8, 41.4, 25.1, 58.2
106-10-26,  5.4, 33.4, 2.2, 55.2, 2.6, 38.8, 25.0, 57.9
106-10-27,  2.6, 23.0, 2.4, 66.7, 2.5, 40.9, 24.7, 58.2
106-10-28,  1.9, 20.9, 2.0, 70.9, 2.7, 47.5, 23.6, 59.6
106-10-29,  2.3, 18.2, 1.8, 74.5, 2.8, 61.4, 24.1, 57.8
106-10-30,  2.1, 24.1, 2.2, 51.1, 2.6, 52.7, 22.2, 59.0
106-10-31,  3.9, 34.4, 3.3, 40.4, 2.9, 32.1, 24.0, 58.7


















