站名,站址,建置容量,啟用日期,本日發電量,累計發電量,累計減碳量,日期,站代號,模組及系統類型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,0,65916,34342.2,2014/1/13,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,76,65992,34381.8,2014/1/14,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,62,66054,34414.1,2014/1/15,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,69,66123,34450.1,2014/1/16,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,69,66192,34486,2014/1/17,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,66,66258,34520.4,2014/1/18,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,19,66277,34530.3,2014/1/19,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,33,66310,34547.5,2014/1/20,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,18,66328,34556.9,2014/1/21,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,51,66379,34583.5,2014/1/22,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,58,66437,34613.7,2014/1/23,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,32,66469,34630.3,2014/1/24,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,49,66518,34655.9,2014/1/25,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,40,66558,34676.7,2014/1/26,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,53,66611,34704.3,2014/1/27,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,53,66664,34731.9,2014/1/28,D516L,多晶矽併聯型
墾丁站,屏東縣恆春鎮,24.84,100-05   ,44,66708,34754.9,2014/1/29,D516L,多晶矽併聯型
