年度,月份,A油千桶,A油FOB美元,B油千桶,B油FOB美元,C油千桶,C油FOB美元,D油千桶,D油FOB美元,E油千桶,E油FOB美元
101,1,7987 ,109.83 ,2955 ,112.13 ,2550 ,111.30 ,0 ,0.00 ,658 ,103.31 
101,2,4667 ,111.62 ,3223 ,115.90 ,1881 ,110.52 ,0 ,0.00 ,971 ,110.33 
101,3,8844 ,118.15 ,2581 ,118.24 ,3701 ,116.80 ,0 ,0.00 ,648 ,120.20 
101,4,4858 ,124.21 ,4179 ,122.93 ,4795 ,124.86 ,0 ,0.00 ,1328 ,119.02 
101,5,4815 ,118.09 ,2950 ,120.01 ,5581 ,122.51 ,0 ,0.00 ,1296 ,106.97 
101,6,4122 ,112.00 ,1925 ,109.89 ,5732 ,115.87 ,0 ,0.00 ,677 ,107.69 
101,7,5773 ,99.77 ,2878 ,95.78 ,3749 ,100.46 ,0 ,0.00 ,1978 ,92.48 
101,8,6418 ,102.42 ,3254 ,100.78 ,4834 ,101.36 ,0 ,0.00 ,648 ,102.26 
101,9,3451 ,106.54 ,3838 ,111.27 ,5761 ,113.24 ,0 ,0.00 ,680 ,107.54 
101,10,3545 ,111.70 ,4512 ,107.91 ,3811 ,114.85 ,0 ,0.00 ,1225 ,105.92 
101,11,6593 ,109.73 ,3868 ,108.40 ,5615 ,112.69 ,0 ,0.00 ,648 ,102.38 
101,12,6991 ,109.58 ,2754 ,109.75 ,2042 ,110.57 ,0 ,0.00 ,616 ,106.59 
102,1,5906 ,107.99 ,3788 ,109.73 ,2988 ,111.69 ,0 ,0.00 ,648 ,110.20 
102,2,5651 ,110.17 ,3066 ,112.50 ,3847 ,112.97 ,418 ,113.90 ,0 ,0.00 
102,3,2891 ,110.56 ,2946 ,114.90 ,5605 ,114.94 ,0 ,0.00 ,667 ,111.88 
102,4,6283 ,105.18 ,3291 ,107.76 ,3849 ,113.21 ,478 ,104.60 ,644 ,97.54 
102,5,6384 ,105.08 ,2937 ,103.22 ,2939 ,104.71 ,498 ,101.71 ,142 ,95.44 
102,6,4830 ,101.56 ,4178 ,102.52 ,4961 ,103.45 ,0 ,0.00 ,527 ,98.42 
102,7,4967 ,100.97 ,3202 ,103.26 ,2742 ,104.32 ,499 ,104.70 ,350 ,103.50 
102,8,4390 ,102.85 ,1722 ,105.62 ,1941 ,108.65 ,0 ,0.00 ,0 ,0.00 
102,9,4734 ,107.28 ,3396 ,109.40 ,1896 ,110.61 ,499 ,110.04 ,660 ,107.19 
102,10,3031 ,109.30 ,2388 ,111.19 ,1831 ,111.91 ,628 ,109.02 ,0 ,0.00 
102,11,4389 ,109.02 ,2039 ,110.19 ,4610 ,110.37 ,500 ,105.97 ,0 ,0.00 
102,12,2859 ,106.63 ,3191 ,109.69 ,2583 ,109.18 ,477 ,108.47 ,0 ,0.00 
103,1,4376 ,109.35 ,2724 ,111.16 ,5178 ,111.39 ,0 ,0.00 ,0 ,0.00 
103,2,3456 ,105.67 ,3180 ,109.05 ,5397 ,110.54 ,479 ,105.60 ,0 ,0.00 
103,3,5215 ,106.66 ,2946 ,107.70 ,4769 ,110.12 ,0 ,0.00 ,0 ,0.00 
103,4,5217 ,104.36 ,2792 ,106.41 ,5020 ,110.18 ,499 ,107.76 ,0 ,0.00 
103,5,3623 ,104.88 ,2956 ,106.94 ,3787 ,109.06 ,499 ,110.66 ,0 ,0.00 
103,6,6591 ,106.05 ,3332 ,108.03 ,3826 ,110.54 ,0 ,0.00 ,0 ,0.00 
103,7,5083 ,108.79 ,2567 ,109.92 ,690 ,113.27 ,0 ,0.00 ,0 ,0.00 
103,8,5779 ,106.36 ,3006 ,108.77 ,3230 ,110.12 ,500 ,108.03 ,649 ,99.04 
103,9,7215 ,103.76 ,3271 ,102.76 ,1944 ,100.60 ,478 ,103.61 ,0 ,0.00 
103,10,5483 ,97.94 ,2180 ,99.96 ,1380 ,100.18 ,499 ,87.24 ,0 ,0.00 
103,11,5105 ,92.10 ,2651 ,86.76 ,4368 ,91.58 ,0 ,0.00 ,0 ,0.00 
103,12,5149 ,83.73 ,2598 ,76.17 ,899 ,85.76 ,452 ,78.29 ,0 ,0.00 
104,1,9861 ,59.69 ,0 ,0.00 ,1904 ,78.67 ,0 ,0.00 ,0 ,0.00 
104,2,8200 ,51.17 ,0,0,947 ,45.72 ,402 ,59.39 ,0 ,0.00 
104,3,8287 ,55.33 ,0,0,2914 ,56.40 ,0 ,0.00 ,0 ,0.00 
104,4,7049 ,52.72 ,0,0,1898 ,54.72 ,398 ,46.32 ,0 ,0.00 
104,5,8540 ,56.30 ,0,0,2940 ,59.26 ,550 ,56.58 ,0 ,0.00 
104,6,9066 ,61.60 ,0,0,3880 ,64.07 ,599 ,65.14 ,0 ,0.00 
104,7,9068 ,59.35 ,0,0,3964 ,61.71 ,590 ,56.13 ,0 ,0.00 
104,8,7976 ,55.30 ,0,0,1854 ,56.16 ,0 ,0.00 ,0 ,0.00 
104,9,8461 ,48.26 ,0,0,2803 ,46.71 ,0 ,0.00 ,0 ,0.00 
104,10,7004 ,45.83 ,0,0,1898 ,47.47 ,0 ,0.00 ,0 ,0.00 
104,11,6833 ,45.68 ,0,0,4024 ,48.40 ,398 ,38.54 ,0 ,0.00 
104,12,4870 ,40.43 ,0,0,2412 ,45.80 ,383 ,33.23 ,0 ,0.00 
105,1,6729 ,34.04 ,0,0,3772 ,37.59 ,0 ,0.00 ,0 ,0.00 
105,2,6996 ,26.18 ,0,0,2055 ,30.44 ,446 ,29.74 ,0 ,0.00 
105,3,4946 ,30.39 ,0,0,6396 ,31.52 ,433 ,33.65 ,0 ,0.00 
105,4,7861 ,35.12 ,0,0,3410 ,36.97 ,619 ,33.42 ,0 ,0.00 
105,5,5414 ,39.72 ,0,0,6017 ,41.05 ,590 ,41.26 ,0 ,0.00 
105,6,6484 ,44.33 ,0,0,4857 ,46.86 ,478 ,43.42 ,0 ,0.00 
105,7,5184 ,45.06 ,0,0,6929 ,48.82 ,574 ,43.48 ,0 ,0.00 
105,8,6028 ,42.97 ,0,0,4986 ,45.55 ,632 ,40.29 ,0 ,0.00 
105,9,5351 ,43.51 ,0,0,5996 ,45.99 ,474 ,43.67 ,0 ,0.00 
105,10,4606 ,43.24 ,0,0,5953 ,48.67 ,475 ,45.90 ,0 ,0.00 
105,11,3361 ,48.19 ,0,0,4994 ,49.82 ,0 ,0.00 ,0 ,0.00 
105,12,3988 ,47.47 ,0,0,5003 ,45.06 ,617 ,42.12 ,0 ,0.00 
106,1,5317 ,52.19 ,0,0,7170 ,52.35 ,455 ,52.66 ,0 ,0.00 
106,2,5354 ,53.14 ,0,0,4035 ,53.58 ,470 ,54.43 ,0 ,0.00 
106,3,9774 ,53.74 ,0,0,2793 ,54.35 ,441 ,49.91 ,0 ,0.00 
106,4,5881 ,51.53 ,0,0,6083 ,53.66 ,500 ,50.75 ,0 ,0.00 
106,5,3888 ,51.85 ,0,0,3498 ,51.88 ,448 ,50.59 ,678 ,51.55 
106,6,4534 ,49.69 ,0,0,4449 ,52.08 ,460 ,48.41 ,0 ,0.00 
106,7,9072 ,46.53 ,0,0,6806 ,47.57 ,101 ,46.23 ,0 ,0.00 
106,8,7939 ,47.41 ,0,0,4983 ,48.96 ,847 ,48.47 ,0 ,0.00 
106,9,7075 ,50.52 ,0,0,2905 ,50.78 ,0 ,0.00 ,962 ,52.64 
106,10,5242 ,53.45 ,0,0,2973 ,55.11 ,0 ,0.00 ,154 ,55.19 
備註：,98年至105年每桶年平均FOB購買價分別為58.98/76.54/107.28 /111.53/107.7/103.86/54.04/41.01美元。,,,,,,,,,,
