型別名稱,產品編號,產品名稱,包裝,銷售對象,交貨地點,計價單位,參考牌價,營業稅,貨物稅,牌價生效時間,備註
汽柴油零售,113F 1209800,98無鉛汽油,散裝,一般自用客戶 ,中油自營站,元/ 公升,29.9,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 1209500,95無鉛汽油,散裝,一般自用客戶 ,中油自營站,元/ 公升,27.9,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 1209200,92無鉛汽油,散裝,一般自用客戶,中油自營站,元/ 公升,26.4,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 1229500,酒精汽油,散裝,一般自用客戶 ,中油自營站,元/ 公升,27.9,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 5100100,超級柴油,散裝,一般自用客戶,中油自營站,元/ 公升,24.299999,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 5100700,海運輕柴油,散裝,車隊卡合約客戶,中油自營漁船站,元/ 公秉,24300,5%,內含,2017-11-13 00:00:00,
汽柴油零售,113F 5100800,海運重柴油,散裝,一般自用客戶,中油自營漁船站,元/ 公秉,23800,5%,內含,2017-11-13 00:00:00,
燃料油,113F 6210800,甲種低硫燃料油(S:0.5%),散裝,一般自用合約客戶,中油供油服務中心,元/ 公秉,13239,5%,110元/公秉,2017-11-06 00:00:00,2010/8/1起供售
燃料油,113F 6210500,低硫燃料油(S:0.5%),散裝,一般自用合約客戶,中油供油服務中心,元/ 公秉,12056,5%,110元/公秉,2017-11-06 00:00:00,
燃料油,113F 6210500,發電用低硫燃料油(S:0.5%),散裝,發電用戶,台電公司發電廠,元/ 公秉,12056,5%,110元/公秉,2017-11-06 00:00:00,
燃料油,113F 6211500,低硫高流動點燃料油(S:0.5%),散裝,發電用戶,台電公司發電廠,元/ 公秉,12006,5%,110元/公秉,2017-11-06 00:00:00,
燃料油,113F 6220100,輕裂燃料油,散裝,國喬化學公司、台苯化學公司,林園石化廠,元/ 公秉,12356,5%,110元/公秉,2017-11-06 00:00:00,
