型別名稱,產品編號,產品名稱,包裝,銷售對象,交貨地點,計價單位,參考牌價,營業稅,貨物稅,牌價生效時間,備註
天然氣,102F 0100100,天然氣（1）,散裝,工業用戶,,元／立方公尺,11.6644,5%,,2017-11-02 00:00:00,
天然氣,102F 0100100,天然氣（1）,散裝,公用天然氣事業,,元／立方公尺,11.24,5%,,2017-11-02 00:00:00,
天然氣,102F 0100100,天然氣（1）,散裝,合格汽電共生系統用戶,,元／立方公尺,10.8969,5%,,2017-11-02 00:00:00,
天然氣,102F 0100100,天然氣（1）,散裝,本公司直營家庭用戶,新竹苗栗地區配氣管線供應範圍,元／立方公尺,12.85,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,工業用戶,,元／立方公尺,12.7129,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,公用天然氣事業,,元／立方公尺,12.25,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,合格汽電共生系統用戶,,元／立方公尺,11.8764,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,電業用戶(冬月),,元／立方公尺,11.0874,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,電業用戶(其他月),,元／立方公尺,11.1942,5%,,2017-11-02 00:00:00,
天然氣,102F 0100400,天然氣（2）,散裝,電業用戶(夏月),,元／立方公尺,11.2552,5%,,2017-11-02 00:00:00,
