型別名稱,產品編號,產品名稱,包裝,銷售對象,交貨地點,計價單位,參考牌價,營業稅,貨物稅,牌價生效時間,備註
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),高雄煉油廠,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),前鎮儲運所,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),大林煉油廠,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),林園石化廠,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),桃園煉油廠,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),鐵砧山礦廠,元 /公斤,26.959999,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300100,液化石油氣(家庭用)CNS12951,散裝,經銷商(指定地點),深澳供輸中心,元 /公斤,27.16,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300200,混合丙丁烷  CNS12951,散裝,工商業用戶,深澳供輸中心,元 /公斤,29.65,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300200,混合丙丁烷  CNS12951,散裝,工商業用戶,錦青處理廠,元 /公斤,29.65,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300200,混合丙丁烷  CNS12951,散裝,工商業用戶,前鎮儲運所,元 /公斤,29.65,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,203P 0300300,丙烷  CNS12951,散裝,工業用戶,深澳供輸中心,元 /公斤,29.65,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,203P 0300300,丙烷  CNS12951,散裝,工業用戶,前鎮儲運所,元 /公斤,29.65,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,203P 0300400,丁烷  CNS12951,散裝,工業用戶,深澳供輸中心,元 /公斤,29.85,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,203P 0300400,丁烷  CNS12951,散裝,工業用戶,前鎮儲運所,元 /公斤,29.85,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300500,車用液化石油氣  CNS15376,散裝,合約民營加氣站,合約加氣站,元 /公斤,28.85,5%,0.69元/公斤,2017-10-02 00:00:00,
液化石油氣,113F 0300600,車用液化石油氣  CNS15376,散裝,一般自用客戶,中油加氣站,元 /公升,20.1,5%,0.69元/公斤,2017-10-02 00:00:00,其他
