產品編號,中文品名,包裝,10611牌價(含稅)
114LA6013252,國光牌透平機油 SR-32,CN,1910
114LA6014652,國光牌透平機油 SR-46,CN,1910
114LA6016852,國光牌透平機油 SR-68,CN,1910
114LA6030052,國光牌油分散劑,CN,3730
114LA60320K4,國光牌高效油污清潔劑 HOC-1,CN,1785
114LA6034152,國光牌特級循環機油 R32,CN,1670
114LA6034182,國光牌特級循環機油 R32,BT,385
114LA60341H4,國光牌特級循環機油 R32,CS,2310
114LA60341K5,國光牌特級循環機油 R32,BT,385
114LA6034352,國光牌特級循環機油 R68,CN,1670
114LA6034367,國光牌特級循環機油 R68,CS,1540
114LA6034382,國光牌特級循環機油 R68,BT,385
114LA60343H4,國光牌特級循環機油 R68,CS,2310
114LA60343K5,國光牌特級循環機油 R68,BT,385
114LA6039052,國光牌特級循環機油 R100,CN,1785
114LA6039352,國光牌特級循環機油 R150,CN,1840
114LA6703252,國光牌液壓油 32AW,CN,1810
114LA6704652,國光牌液壓油 46AW,CN,1810
114LA6706852,國光牌液壓油 68AW,CN,1810
114LA6710052,國光牌液壓油 100AW,CN,2180
114LA6713252,國光牌特級液壓油 32AWS,CN,1965
114LA6716852,國光牌特級液壓油 68AWS,CN,1965
114LA6803252,國光牌液壓油 LPS32,CN,2585
114LA6804652,國光牌液壓油 LPS46,CN,2585
114LA6806852,國光牌液壓油 LPS68,CN,2585
114LA6903252,國光牌空壓機油 SC-32,CN,2425
114LA6904652,國光牌空壓機油 SC-46,CN,2425
114LA6906852,國光牌空壓機油 SC-68,CN,2425
114LA7294252,國光牌防銹油 C,CN,2000
114LA7294452,國光牌高效防銹油 RP-50,CN,3345
114LA8103252,國光牌滑道機油 32,CN,1905
114LA8106852,國光牌滑道機油 68,CN,1960
114LA8206852,國光牌極壓機油 HD68,CN,1990
114LA8210052,國光牌極壓機油 HD100,CN,2035
114LA8215052,國光牌極壓機油 HD150,CN,2010
114LA8222052,國光牌極壓機油 HD220,CN,2085
114LA8232052,國光牌極壓機油 HD320,CN,2150
114LA8246052,國光牌極壓機油 HD460,CN,2395
114LB2001200,國光牌PM70N(II)基礎油,LE,27.69
114LB2003000,國光牌PM150N(II)基礎油,LE,27.85
114LB2010000,國光牌PM500N(II)基礎油,LE,32.74
114LB2046100,PM150BS基礎油,LE,46.78
114LB2100700,PM60SN 基礎油,LE,29.06
114LB2103000,PM150SN基礎油,LE,30.54
114LB2110000,PM500SN基礎油,LE,36.19
114LB3970124,國光牌高級煞車油,BT,230
114LB3970193,國光牌高級煞車油,CS,2760
114LB3980136,國光牌高級煞車油 DOT4,CS,3780
114LB3980154,國光牌高級煞車油 DOT4,BT,315
114LB5116300,國光牌通用機油 30,LE,52
114LB5116400,國光牌通用機油 40,LE,57
114LB5116500,國光牌通用機油 50,LE,57
114LB5122548,國光牌特優級SJ/CD車用機油 15W/40,CS,1440
114LB5122552,國光牌特優級SJ/CD車用機油 15W/40,CN,1990
114LB5122567,國光牌特優級SJ/CD車用機油 15W/40,CS,1820
114LB5122577,國光牌特優級SJ/CD車用機油 15W/40,BT,120
114LB5122582,國光牌特優級SJ/CD車用機油 15W/40,BT,455
114LB51225H4,國光牌特優級SJ/CD車用機油 15W/40,CS,2730
114LB51225K5,國光牌特優級SJ/CD車用機油 15W/40,BT,455
114LB5122948,國光牌特優級SJ/CD車用機油 20W/50,CS,1440
114LB5122952,國光牌特優級SJ/CD車用機油 20W/50,CN,1990
114LB5122967,國光牌特優級SJ/CD車用機油 20W/50,CS,1820
114LB5122977,國光牌特優級SJ/CD車用機油 20W/50,BT,120
114LB5122982,國光牌特優級SJ/CD車用機油 20W/50,BT,455
114LB51229H4,國光牌特優級SJ/CD車用機油 20W/50,CS,2730
114LB51229K5,國光牌特優級SJ/CD車用機油 20W/50,BT,455
114LB5125348,國光牌特優級SJ/CD車用機油 30,CS,1356
114LB5125352,國光牌特優級SJ/CD車用機油 30,CN,1840
114LB5125367,國光牌特優級SJ/CD車用機油 30,CS,1632
114LB5125377,國光牌特優級SJ/CD車用機油 30,BT,113
114LB5125382,國光牌特優級SJ/CD車用機油 30,BT,408
114LB5125448,國光牌特優級SJ/CD車用機油 40,CS,1356
114LB5125452,國光牌特優級SJ/CD車用機油 40,CN,1840
114LB5125467,國光牌特優級SJ/CD車用機油 40,CS,1632
114LB5125477,國光牌特優級SJ/CD車用機油 40,BT,113
114LB5125482,國光牌特優級SJ/CD車用機油 40,BT,408
114LB51254H4,國光牌特優級SJ/CD車用機油 40,CS,2448
114LB51254K5,國光牌特優級SJ/CD車用機油 40,BT,408
114LB5131148,國光牌9000SL車用機油 10W/40,CS,4440
114LB5131177,國光牌9000SL車用機油 10W/40,BT,370
114LB5151048,國光牌9000 SM 車用機油 10W/40,CS,4680
114LB5151077,國光牌9000 SM 車用機油 10W/40,BT,390
114LB5152048,國光牌9000 SM 車用機油5W/50,CS,4680
114LB5152077,國光牌9000 SM 車用機油5W/50,BT,390
114LB5161048,國光牌9000 SN 車用機油10W/40,CS,4920
114LB5161077,國光牌9000 SN 車用機油10W/40,BT,410
114LB5174052,國光牌超優CH4車用機油,CN,2120
114LB5174067,國光牌超優CH4車用機油,CS,2040
114LB5174082,國光牌超優CH4車用機油,BT,510
114LB51740H4,國光牌超優CH4車用機油,CS,3060
114LB51740K5,國光牌超優CH4車用機油,BT,510
114LB5184052,國光牌超優CI4車用機油 15W/40,CN,2280
114LB5186052,國光牌超優CJ4車用機油 15W/40,CN,2380
114LB5194052,國光牌超優CG4車用機油,CN,2070
114LB5194067,國光牌超優CG4車用機油,CS,1980
114LB5194082,國光牌超優CG4車用機油,BT,495
114LB51940H4,國光牌超優CG4車用機油,CS,2970
114LB51940K5,國光牌超優CG4車用機油,BT,495
114LB5195052,國光牌超優E9合成油 15W/40,CN,2775
114LB5195082,國光牌超優E9合成油 15W/40,BT,685
114LB51950H4,國光牌超優E9合成油 15W/40,CS,4110
114LB51950K5,國光牌超優E9合成油 15W/40,BT,685
114LB5202037,國光牌二行程機油 LS,CS,1092
114LB5202048,國光牌二行程機油 LS,CS,1488
114LB5202076,國光牌二行程機油 LS,BT,91
114LB5202077,國光牌二行程機油 LS,BT,124
114LB5202137,國光牌環保二行程機油 LS,CS,1440
114LB5202176,國光牌環保二行程機油 LS,BT,120
114LB5204063,國光牌勁風4T機車專用油,BT,105
114LB5204087,國光牌勁風4T機車專用油,CS,1260
114LB5204163,國光牌迅雷4T機車專用油,BT,195
114LB5204187,國光牌迅雷4T機車專用油,CS,2340
114LB5416300,國光牌超重級船用機油 HB-30,LE,75
114LB5416400,國光牌超重級船用機油 HB-40,LE,75
114LB5429152,國光牌超重CF車用機油 10W,CN,1585
114LB5429352,國光牌超重CF車用機油 30,CN,1755
114LB5429367,國光牌超重CF車用機油 30,CS,1660
114LB5429382,國光牌超重CF車用機油 30,BT,415
114LB5429452,國光牌超重CF車用機油 40,CN,1755
114LB5429467,國光牌超重CF車用機油 40,CS,1660
114LB5429482,國光牌超重CF車用機油 40,BT,415
114LB54294H4,國光牌超重CF車用機油 40,CS,2490
114LB54294K5,國光牌超重CF車用機油 40,BT,415
114LB5512648,國光牌多效合成自動變速器油,CS,3600
114LB5512677,國光牌多效合成自動變速器油,BT,300
114LB5570052,國光牌多效農機傳動油,CN,2285
114LB5628952,國光牌多效齒輪油 85W/90,CN,2060
114LB5628982,國光牌多效齒輪油 85W/90,BT,495
114LB56289H4,國光牌多效齒輪油 85W/90,CS,2970
114LB56289K5,國光牌多效齒輪油 85W/90,BT,495
114LB5629452,國光牌多效齒輪油 80W/90,CN,2060
114LB5629467,國光牌多效齒輪油 80W/90,CS,1980
114LB5629482,國光牌多效齒輪油 80W/90,BT,495
114LB56294H4,國光牌多效齒輪油 80W/90,CS,2970
114LB56294K5,國光牌多效齒輪油 80W/90,BT,495
114LB5629552,國光牌多效齒輪油 85W/140,CN,2105
114LB5629582,國光牌多效齒輪油 85W/140,BT,560
114LB56295H4,國光牌多效齒輪油 85W/140,CS,3360
114LB56295K5,國光牌多效齒輪油 85W/140,BT,560
114LB6500135,國光牌家庭用潤滑油,BT,768
114LB6500171,國光牌家庭用潤滑油,BT,32
114LB7365752,國光牌切削油 31C,CN,1815
114LB7366452,國光牌切削油 44A,CN,1895
114LB7366552,國光牌合成切削液,CN,3630
114LB7367552,國光牌特級溶水油,CN,2300
114LB8010225,國光牌車用多效滑脂,PC,130
114LB8010242,國光牌車用多效滑脂,CS,3120
114LB8010250,國光牌車用多效滑脂,CN,2320
114LB8012250,國光牌二號高級軸承滑脂,CN,2360
114LB8020050,國光牌0號多效滑脂,CN,2320
114LB8020150,國光牌一號多效滑脂,CN,2320
114LB8020250,國光牌二號多效滑脂,CN,2320
114LB8020283,國光牌二號多效滑脂,CT,105
114LB8020286,國光牌二號多效滑脂,CS,3150
114LB8020350,國光牌三號多效滑脂,CN,2405
114LB8030050,國光牌0號極壓滑脂,CN,2425
114LB8030150,國光牌一號極壓滑脂,CN,2425
114LB8030250,國光牌二號極壓滑脂,CN,2425
114LB8040050,國光牌0號硫鉬滑脂,CN,3765
114LB8040250,國光牌二號硫鉬滑脂,CN,3765
114LB8060325,國光牌特級三號杯脂,PC,130
114LB8060342,國光牌特級三號杯脂,CS,3120
114LB8060350,國光牌特級三號杯脂,CN,2230
114LB8080050,國光牌0號高溫複合鋰基極壓滑脂,CN,3050
114LB8080150,國光牌一號高溫複合鋰基極壓滑脂,CN,3050
114LB8080250,國光牌二號高溫複合鋰基極壓滑脂,CN,3050
