站代號,類別,站名,縣市,鄉鎮區,地址,電話,營業中
D2041,自營加氣站,八堵加油加氣站,基隆市,暖暖區,八堵路158號,02-24560524,1
D214L,自營加氣站,百齡四路加油加氣站,台北市,北投區,承德路六段427號,02-28201427,1
D215V,自營加氣站,泰新加油加氣站,新北市,泰山區,新北大道五段1號,02-29094220,1
D216Y,自營加氣站,安康加油加氣站,台北市,內湖區,安康路284號(加氣部份暫停營業),02-27909413,1
D217K,自營加氣站,濱江大直橋加油加氣站,台北市,松山區,濱江街373號,02-25177975,1
D235C,自營加氣站,梅溪加油加氣站,桃園市,楊梅區,中山北路一段391號,03-4782632,1
D235Q,自營加氣站,中壢工業區加油加氣站,桃園市,中壢區,中華路二段230號,03-4521948,1
D414Y,自營加氣站,台中工業區加油加氣站,台中市,西屯區,福和里臺灣大道四段1047號,04-23592968,1
D517L,自營加氣站,左楠加油加氣站,高雄市,楠梓區,高雄市楠梓區左楠路2-1號,07-5888562,1
D517R,自營加氣站,前鎮漁港路加油加氣站,高雄市,前鎮區,漁港路2-1號,07-8224007,1
CC6212L02,加盟加氣站,裕明道奇加氣,台中市,北屯區,崇德五路369號,04-22425655,1
CC6212L03,加盟加氣站,大台中福科路加氣,台中市,西屯區,環中路二段1298號,04-27068817,1
CC6212L05,加盟加氣站,加得利加氣站,台中市,中區,柳川西路3段2號,04-22298828,1
CC6212L07,加盟加氣站,陸海彰化加油加氣站,彰化縣,彰化市,彰水路15號,04-7618438,1
CC6212L10,加盟加氣站,元太新竹加氣站,新竹市,東區,溪埔路91號,035-344606,1
CC6212L12,加盟加氣站,大展三民路加氣站,台中市,西區,三民路一段41號,04-23764987,1
II6212L01,加盟加氣站,忠義加氣,嘉義縣,中埔鄉,和美村大義路606號,05-2398208,1
KK6212L01,加盟加氣站,史丹尼斯加氣,基隆市,七堵區,堵南街46之1號,02-24519501,1
LL6212L01,加盟加氣站,宜蘭榮華加氣,宜蘭縣,宜蘭市,凱旋里中山路1段118號,03-9251958,1
NN6212L01,加盟加氣站,久井企業股份有限公司加氣,台南市,永康區,甲頂里中華路１０６９號,06-2829833,1
NN6212L03,加盟加氣站,轂豐加油站有限公司加氣,台南市,安南區,安吉路１段４６５號１樓,06-2476828,1
NN6212L06,加盟加氣站,久井仁德交流道加氣,台南市,仁德區,文德路33號,06-2797158,1
SS6212L08,加盟加氣站,建國加氣站,高雄市,大寮區,後庄里大漢路352號,07-7038108,1
SS6212L12,加盟加氣站,上亞明誠路加氣站,高雄市,三民區,民族一路568號,07-3953891,1
SS6212L15,加盟加氣站,旭光瓦斯加氣站,高雄市,仁武區,鳳仁路332號,07-3717111,1
SS6212L16,加盟加氣站,亞洲大發加氣站,高雄市,大寮區,三隆里鳳林二路806號,07-7879621,1
SS6212L17,加盟加氣站,旭光瓦斯高鐵加氣站,高雄市,仁武區,高楠公路53號,07-3717111,1
SS6212L18,加盟加氣站,源興加油加氣站,高雄市,鳳山區,油管路99號,07-7539799,1
TT6212L01,加盟加氣站,陸海加氣站,台北市,松山區,濱江街375號,02-25093745,1
TT6212L02,加盟加氣站,西歐大直橋加氣站,台北市,中山區,濱江街333號,02-25033166,1
TT6212L03,加盟加氣站,莒光路加氣站,新北市,中和區,莒光路258號,02-89519011,1
TT6212L05,加盟加氣站,六通加氣站,台北市,中山區,濱江街183號,02-25176032,1
TT6212L06,加盟加氣站,新安和加氣站,新北市,新店區,安和路3段37號,02-29463059,1
TT6212L07,加盟加氣站,淳寶加氣站,新北市,汐止區,新台五路2段236號,02-26900088,1
TT6212L10,加盟加氣站,聯華土城加氣站,新北市,土城區,大安路101號,02-22675755,1
TT6212L12,加盟加氣站,聯華三重光復路加氣站,新北市,三重區,光復路二段168-1號,02-29997138,1
TT6212L13,加盟加氣站,碧安加氣站,新北市,新店區,安康路1段20號,02-22126979,1
TT6212L15,加盟加氣站,中和中正路龍門加氣站,新北市,中和區,中正路808號,02-22261315,1
TT6212L17,加盟加氣站,四海加氣站,新北市,汐止區,大同路1段1號,02-86463339,1
TT6212L18,加盟加氣站,溫馨加氣站,台北市,士林區,承德路6段359號,02-28285798,1
TT6212L19,加盟加氣站,聯華五股加氣站,新北市,五股區,成泰路2段250號,02-82923939,1
TT6212L21,加盟加氣站,西歐民安西路加氣站,新北市,新莊區,民安西路452號,02-22081928,1
YY6212L03,加盟加氣站,健行加氣站,桃園市,桃園區,健行路29號,03-3163758,1
YY6212L04,加盟加氣站,力行加氣站,桃園市,桃園區,文中北路102號,03-3015322,1
YY6212L06,加盟加氣站,大園加氣站,桃園市,大園區,中正東路392號,03-3860036,1
