調價日期,家用液化石油氣氣_經銷商_每公斤,工業用丙烷_每公斤,工業用丙丁烷_每公斤,工業用丁烷_每公斤,車輛用_民營加氣站_每公斤,車輛用_一般民眾_每公升
1999/1/6 00:00,9.24,10.18,10.18,10.18,9.71,9.8
1999/4/7 00:00,9.56,10.5,10.5,10.5,10.03,9.9
1999/5/12 00:00,9.89,10.83,10.83,10.83,10.36,10.1
1999/6/22 00:00,9.23,10.5,10.5,10.5,10.36,10.1
1999/11/10 00:00,9.6,10.82,10.82,10.82,10.36,10.1
1999/11/27 00:00,9.9,11.3,11.3,11.3,10.36,10.1
2000/1/4 00:00,10.59,11.92,11.92,11.92,10.36,10.1
2000/2/16 00:00,11.37,12.91,12.91,12.91,10.36,10.1
2000/3/28 00:00,13.7,15.61,15.61,15.61,10.36,10.1
2000/6/22 00:00,NULL,15.32,15.32,15.32,NULL,NULL
2000/9/20 00:00,14.6,16.3,16.3,16.3,12,11
2000/12/1 00:00,14.2,15.93,15.93,15.93,12,11
2001/1/15 00:00,NULL,16.05,NULL,NULL,NULL,NULL
2001/4/9 00:00,14,15.73,15.61,15.61,12,11
2001/4/24 00:00,13.7,15.4,15.28,15.28,12,11
2001/5/8 00:00,13.2,15.05,14.63,14.63,12,11
2001/6/27 00:00,12.7,14.39,14.09,14.09,12,11
2001/11/22 00:00,12.5,14.09,13.79,13.79,12,11
2001/12/19 00:00,11.8,13.01,13.01,13.01,11.4,10.5
2002/9/3 00:00,12.5,13.79,13.79,13.79,12,11.1
2002/10/2 00:00,14,15.49,15.49,15.49,13,11.6
2002/11/13 00:00,14.8,16.37,16.37,16.37,13.8,12
2002/12/28 00:00,15.3,16.93,16.93,16.93,14.3,12.5
2003/1/9 00:00,15.7,17.38,17.38,17.38,14.9,12.6
2003/2/25 00:00,16.7,18.9,18.75,18.75,16,13.2
2003/4/4 00:00,15.7,17.9,17.75,17.75,15,12.7
2003/4/10 00:00,NULL,17.53,17.38,17.38,NULL,NULL
2003/4/19 00:00,14.9,16.62,16.47,16.47,14.2,12.2
2003/5/3 00:00,12.4,13.82,13.67,13.67,11.7,10.8
2003/6/18 00:00,NULL,14.32,14.17,14.17,NULL,NULL
2003/7/4 00:00,13.4,14.92,14.77,14.77,12.7,11.3
2003/9/4 00:00,13.8,15.42,15.27,15.27,13.2,11.6
2003/9/25 00:00,13.4,14.92,14.77,14.77,12.7,11.3
2003/10/8 00:00,13,14.44,14.29,14.29,12.2,11.1
2003/11/1 00:00,13.5,15.04,14.89,14.89,12.8,11.6
2003/11/22 00:00,14,15.64,15.49,15.49,13.5,11.8
2004/1/9 00:00,15,16.74,16.59,16.59,14.6,12.5
2004/2/20 00:00,13.8,15.44,15.29,15.29,13.3,12
2004/6/5 00:00,15.3,17.14,16.99,16.99,15.1,12.6
2004/8/11 00:00,16.3,18.24,18.09,18.09,16.3,13.3
2004/10/1 00:00,17.5,19.41,19.41,19.41,17.5,13.9
2004/11/10 00:00,19.1,21.17,21.17,21.17,19,14.8
2005/1/2 00:00,17.1,18.95,18.95,18.97,17,13.8
2005/8/3 00:00,17.6,19.45,19.45,19.47,18.5,14.5
2006/4/19 00:00,19.01,21,21,21,20.5,15.6
2006/8/13 00:00,21.41,23.8,23.8,23.8,22.9,16.9
2007/3/4 00:00,21.11,23.5,23.5,23.5,22.3,16.6
2007/5/9 00:00,22.36,24.75,24.75,24.75,23.55,17.3
2007/6/13 00:00,24.36,26.95,26.95,26.95,25.05,18.1
2007/7/4 00:00,24.06,26.62,26.62,26.62,24.65,17.9
2007/9/2 00:00,23.81,26.37,26.37,26.37,24.4,17.7
2008/5/28 00:00,27.71,30.69,30.69,30.69,28.4,19.9
2008/7/2 00:00,28.71,31.8,31.8,31.8,30.5,21.1
2008/9/2 00:00,28.21,31.3,31.3,31.3,30,20.8
2008/10/2 00:00,27.71,30.8,30.8,30.8,29.5,20.5
2008/11/2 00:00,22.21,25.3,25.3,25.3,24,17.5
2008/12/2 00:00,16.46,19.55,19.55,19.55,18.25,14.4
2009/1/2 00:00,17.86,20.95,20.95,20.95,19.65,15.1
