站代號,站名,地址,電話,提供服務時段
D216K,五股工業區站,242 新北市新莊區五工路99-3號(周日營業時間:09~18),02-22980057,07:00-22:00
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,07:00-22:00
D414H,溪頭,558 南投縣鹿谷鄉內湖村興產路4-5號,049-2612126,08:00-18:00
D414K,芬園站,502 彰化縣芬園鄉彰南路四段354號,049-2522244,07:00-22:00
D414M,南投三和站,540 南投縣南投市三和里中興路549號,049-2227255,00:00-24:00
D414N,國姓站,544 南投縣國姓鄉福龜村中正路一段55號,049-2721240,07:00-22:00
D414R,霧社站,546 南投縣仁愛鄉大同村仁和路14號,049-2802275,06:30-21:30
D414W,鹿谷站,558 南投縣鹿谷鄉鹿谷村中正路二段137號,049-2752874,06:30-21:30
D4150,埔里站,545 南投縣埔里鎮中山路三段172號,049-2982403,00:00-24:00
D4153,竹山站,557 南投縣竹山鎮竹山里集山路三段884號,049-2642304,07:00-22:00
D4155,水里站,553 南投縣水里鄉南光村民生路53號,049-2770244,07:00-22:00
D415J,中寮站,541 南投縣中寮鄉永平村永平路349-13號,049-2691730,07:00-18:00
D415N,魚池站,555 南投縣魚池鄉魚池村魚池街772號,049-2895352,06:30-21:30
D415T,集集站,552 南投縣集集鎮林尾里民生路317號,049-2763894,07:00-22:00
D415Y,信義站,556 南投縣信義鄉明德村玉山路116號,049-2791837,06:30-21:30
D4168,名間站,551 南投縣名間鄉中正村南雅街151號,049-2732629,06:30-21:30
D4169,南投站,540 南投縣南投市三民里彰南路二段71號,049-2222650,06:30-21:30
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,00:00-24:00
D416Z,竹山延平站,557 南投縣竹山鎮延平里集山路二段869號,049-2649304,07:00-22:00
D4174,日月潭站,555 南投縣魚池鄉水社村中山路20號,049-2855160,07:00-21:00
D4178,南投民族街站,540 南投縣南投市平和里民族街163號,049-2222741,06:30-21:30
D417T,南崗三路站,540 南投縣南投市南崗三路278-1號,049-2254902,00:00-24:00
