部門代號,部門名稱,營利事業統一編號,地址,電話
D0210,業務室行銷企劃組,42440162,台北市信義區松仁路3號,02-87898989
D0220,業務室行銷服務組,3707901,高雄市楠梓區左楠路2號,0800036188
D2002,台灣中油股份有限公司油品行銷事業部基隆營業處基隆直銷服務中心,52702,基隆市仁愛區成功一路107號,02-24331155
D2102,台灣中油股份有限公司油品行銷事業部台北營業處台北直銷服務中心,4279821,台北市中正區莒光路2號,02-23043180
D2302,台灣中油股份有限公司油品行銷事業部桃園營業處桃園直銷服務中心,43031593,桃園市桃園區中山路522號,03-3325492
D232B,台灣中油股份有限公司油品行銷事業部桃園營業處中壢加盟服務中心,44542714,桃園市中壢區環中東路二段659號,03-4578296
D4102,台灣中油股份有限公司油品行銷事業部台中營業處台中直銷服務中心,51125600,台中市北屯區文心路4段121號,04-22920130
D411B,台灣中油股份有限公司油品行銷事業部台中營業處彰化直銷服務中心,58030489,彰化市中山路三段27號,04-7227018
D412F,台灣中油股份有限公司油品行銷事業部台中營業處南投加盟服務中心,12047819,南投縣南投市仁和路13號,049-2255001
D4202,台灣中油股份有限公司油品行銷事業部竹苗營業處新竹直銷服務中,46056809,新竹市大學路2號,03-5721311
D421E,台灣中油股份有限公司油品行銷事業部竹苗營業處苗栗直銷服務中心,19214729,苗栗縣苗栗市中正路446號,037-365752
D4302,台灣中油股份有限公司油品行銷事業部嘉義營業處嘉義直銷服務中心,65091003,嘉義市東區興業東路12號,05-2496022
D431B,台灣中油股份有限公司油品行銷事業部嘉義營業處雲林直銷服務中心,97623340,雲林縣斗六市文化路522號,05-5323615
D431H,台灣中油股份有限公司油品行銷事業部嘉義營業處,96030805,澎湖縣馬公市民福路16號,06-9279190
D5002,台灣中油股份有限公司油品行銷事業部台南營業處台南直銷服務中心,68075288,台南市北區成功路16號,06-2266101
D5102,台灣中油股份有限公司油品行銷事業部高雄營業處高雄直銷服務中心,79066602,高雄市前鎮區成功二路15號,07-3300730
D511B,台灣中油股份有限公司油品行銷事業部高雄營業處屏東直銷服務中心,91720909,屏東縣屏東市復興路261號,08-7552710
D511C,台灣中油股份有限公司油品行銷事業部高雄營業處橋頭直銷服務中心,88717991,高雄市橋頭區橋南里成功南路青埔溪邊1號,07-6129230
D5123,台灣中油股份有限公司油品行銷事業部高雄營業處金馬行銷服務中心,20128125,金門縣金湖鎮料羅里料羅160號,082-332483
D6102,台灣中油股份有限公司油品行銷事業部東區營業處花蓮直銷服務中心,94500204,花蓮縣花蓮市東興路285號,03-8221101
D611B,台灣中油股份有限公司油品行銷事業部東區營業處宜蘭直銷服務中心,41559009,宜蘭縣五結鄉中正路二段96號,03-9655555
D611C,台灣中油股份有限公司油品行銷事業部東區營業處台東直銷服務中心,93039108,台東縣台東市中興路二段23號,089-227820
