站代號,站名,地址,電話,提供服務時段
D2041,八堵加油加氣站,205 基隆市暖暖區八堵路158號,02-24560524,07:00-22:00
D2042,中正三路站,202 基隆市中正區中正路459號,02-24622381,07:00-21:00
D2044,祥豐街站,202 基隆市中正區祥豐街108號,02-24627356,07:00-21:00
D2045,金山站,208 新北市金山區中山路385號,02-24982553,07:00-21:00
D2046,萬里站,207 新北市萬里區龜吼里美崙31-1號,02-24922019,07:00-21:00
D2047,六堵站,206 基隆市七堵區明德二路28號,02-24512006,06:30-22:30
D2048,瑞芳站,224 新北市瑞芳區中山路200號,02-24972341,07:00-22:00
D2049,成功一路站,200 基隆市仁愛區成功一路105號,02-24316683,00:00-24:00
D2050,西定路站,203 基隆市中山區西定路190號,02-24226918,07:00-21:00
D2052,三芝站,252 新北市三芝區埔頭里31鄰埔頭15號,02-26362403,07:00-21:00
D2053,安樂站,204 基隆市安樂區麥金路441號,02-24311788,00:00-24:00
D2054,澳底站,228 新北市貢寮區真理里美艷山街6-2號,02-24901501,07:00-21:00
D2055,海濱站,224 新北市瑞芳區海濱路157-2號,02-24973124,07:00-21:00
D2056,碇內站,205 基隆市暖暖區源遠路157號,02-24577214,00:00-24:00
D2058,大武崙站,204 基隆市安樂區基金三路2-1號,02-24321537,07:00-22:00
D2059,八德路站,206 基隆市七堵區八德路2-15號,02-24562643,07:00-22:00
D2060,保長坑站,221 新北市汐止區大同路三段186-1號,02-86485318,00:00-24:00
D2061,東明路站,201 基隆市信義區東明路138號,02-24660611,00:00-24:00
D2142,北投站,112 台北市北投區承德路七段384號,02-28201203,00:00-24:00
D2144,基隆路站,106 台北市大安區基隆路二段162號,02-27383992,00:00-24:00
D2146,汐止站,221 新北市汐止區大同路一段353號,02-26412246,00:00-24:00
D2147,社子站,111 台北市士林區重慶北路四段198號,02-28122647,00:00-24:00
D2149,民權西路站,103 台北市大同區民權西路194號,02-25575809,00:00-24:00
D214F,菜寮站,241 新北市三重區重新路三段157號,02-29843153,00:00-24:00
D214G,福林站 ,111 台北市士林區中山北路五段465號,02-28812420,00:00-24:00
D214H,中央北路站,112 台北市北投區中央北路四段584號,02-28913744,00:00-24:00
D214J,寶橋站,231 新北市新店區寶橋路219號,02-29111965,00:00-24:00
D214K,龍安站,106 台北市大安區和平東路二段2號,02-23631735,00:00-24:00
D214L,百齡四路加油加氣站,112 台北市北投區承德路六段427號,02-28201427,00:00-24:00
D214M,忠孝東路站,105 台北市信義區忠孝東路五段69號,02-27622418,00:00-24:00
D214N,坪林站,232 新北市坪林區北宜路八段61號,02-26656081,07:00-21:00
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,00:00-24:00
D214T,八里站,249 新北市八里區中山路一段1號,02-26104191,00:00-24:00
D214X,西湖,114 台北市內湖區內湖路一段59號,02-27992147,07:00-23:00
D214Y,建國北路站,104 台北市中山區建國北路三段91號之1,02-25014338,00:00-24:00
D214Z,新莊站,242 新北市新莊區中正路338號,02-29965736,00:00-24:00
D2150,木柵站,116 台北市文山區木柵路三段2號,02-29392990,00:00-24:00
D2151,萬隆站,116 台北市文山區興隆路一段13號,02-29312829,00:00-24:00
D2152,中和站,235 新北市中和區中和路260號,02-22493364,00:00-24:00
D2153,淡水站,251 新北市淡水區中正東路1號,02-26212343,00:00-24:00
D2154,金山南路站,106 台北市大安區金山南路二段77號,02-23518346,07:00-24:00
D2156,陽明山站,111 台北市士林區陽明山格致路3號,02-28616052,00:00-24:00
D2157,復興北路站,105 台北市松山區復興北路31號,02-27112342,07:00-23:00
D2159,新生南路站,106 台北市大安區仁愛路三段1號,02-27112316,07:00-22:00
D215A,屈尺站,231 新北市新店區新烏路2段202號,02-26668137,07:00-22:00
D215E,林口站,244 新北市林口區中山路１號,02-26015017,00:00-24:00
D215H,板橋民族路站,220 新北市板橋區民族路90號,02-29536247,00:00-24:00
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,00:00-24:00
D215K,蘆洲站,新北市蘆洲區三民路99號,02-22812333,00:00-24:00
D215L,環河南路站,108 台北市萬華區環河南路二段274之2及177之1,02-23040528,00:00-24:00
D215N,鶯歌站,239 新北市鶯歌區文化路152號,02-26792944,00:00-24:00
D215R,新店北新路站,231 新北市新店區北新路一段90號,02-29180305,00:00-24:00
D215T,莒光路站,100 台北市中正區莒光路2號,02-23028385,00:00-24:00
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,00:00-24:00
D215W,東湖站,114 台北市內湖區康寧路三段225號,02-26311524,07:00-22:00
D215X,新莊大漢橋站,242 新北市新莊區思源路41-1號,02-29977573,07:00-22:00
D215Y,鶯桃路站,239 新北市鶯歌區建國路608號,02-26792083,07:00-21:00
D215Z,三多站,新北市樹林區中正路433號,02-26886405,07:00-22:00
D2160,樹林站,新北市樹林區樹新路207號,02-26812405,00:00-24:00
D2161,二重站,241 新北市三重區重新路五段652號,02-29950790,07:00-22:00
D2162,桂林路站,108 台北市萬華區桂林路53號,02-23819053,07:00-22:00
D2163,信義路站,106 台北市大安區信義路四段374號,02-27081235,00:00-24:00
D2164,汀州路站,100 台北市中正區汀州路三段１號,02-23655595,00:00-24:00
D2165,民生東路站,105 台北市松山區三民路126號,02-27671664,00:00-24:00
D2167,松山路站,110 台北市信義區松山路480號,02-27297328,00:00-24:00
D2168,文林路站,111 台北市士林區文林路100號,02-28817934,00:00-24:00
D2169,富陽街站,106 台北市大安區富陽街129號,02-27324229,00:00-24:00
D216A,吉林路站,104 台北市中山區吉林路31號,02-25417952,07:00-22:00
D216F,永和永利路站,234 新北市永和區永利路69號,02-29212541,00:00-24:00
D216J,大埔站,237 新北市三峽區中正路二段165號,02-26710050,07:00-23:00
D216K,五股工業區站,242 新北市新莊區五工路99-3號(周日營業時間:09~18),02-22980057,07:00-22:00
D216L,大直站,104 台北市中山區明水路661號,02-25320154,00:00-24:00
D216R,埔墘站,220 新北市板橋區中山路二段320號,02-29553436,00:00-24:00
D216U,內湖麗山街站,114 台北市內湖區內湖路一段362號,02-26577339,00:00-24:00
D216V,淡海新市鎮站,251 新北市淡水區埤島里二鄰淡金路2段599號,02-26228923,00:00-24:00
D216Y,安康加油加氣站,台北市內湖區安康路284號(加氣部份暫停營業),02-27909413,07:00-22:00
D2170,五股站,248 新北市五股區中興路四段21號,02-22917541,00:00-24:00
D2171,重陽路,241 新北市三重區忠孝路一段１號,02-29718645,00:00-24:00
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,00:00-24:00
D2173,土城廣福路站,236 新北市土城區四川路１號,02-89672580,00:00-24:00
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,00:00-24:00
