站代號,站名,地址,電話,提供服務時段
D2041,八堵加油加氣站,205 基隆市暖暖區八堵路158號,02-24560524,07:00-22:00
D2044,祥豐街站,202 基隆市中正區祥豐街108號,02-24627356,07:00-21:00
D2047,六堵站,206 基隆市七堵區明德二路28號,02-24512006,06:30-22:30
D2052,三芝站,252 新北市三芝區埔頭里31鄰埔頭15號,02-26362403,07:00-21:00
D2055,海濱站,224 新北市瑞芳區海濱路157-2號,02-24973124,07:00-21:00
D2060,保長坑站,221 新北市汐止區大同路三段186-1號,02-86485318,00:00-24:00
D2140,中崙站,104 台北市中山區八德路二段214號,02-27712548,00:00-24:00
D2142,北投站,112 台北市北投區承德路七段384號,02-28201203,00:00-24:00
D2146,汐止站,221 新北市汐止區大同路一段353號,02-26412246,00:00-24:00
D2149,民權西路站,103 台北市大同區民權西路194號,02-25575809,00:00-24:00
D214G,福林站 ,111 台北市士林區中山北路五段465號,02-28812420,00:00-24:00
D214H,中央北路站,112 台北市北投區中央北路四段584號,02-28913744,00:00-24:00
D214J,寶橋站,231 新北市新店區寶橋路219號,02-29111965,00:00-24:00
D214K,龍安站,106 台北市大安區和平東路二段2號,02-23631735,00:00-24:00
D214L,百齡四路加油加氣站,112 台北市北投區承德路六段427號,02-28201427,00:00-24:00
D214M,忠孝東路站,105 台北市信義區忠孝東路五段69號,02-27622418,00:00-24:00
D214N,坪林站,232 新北市坪林區北宜路八段61號,02-26656081,07:00-21:00
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,00:00-24:00
D214T,八里站,249 新北市八里區中山路一段1號,02-26104191,00:00-24:00
D214X,西湖,114 台北市內湖區內湖路一段59號,02-27992147,07:00-23:00
D214Y,建國北路站,104 台北市中山區建國北路三段91號之1,02-25014338,00:00-24:00
D214Z,新莊站,242 新北市新莊區中正路338號,02-29965736,00:00-24:00
D2150,木柵站,116 台北市文山區木柵路三段2號,02-29392990,00:00-24:00
D2151,萬隆站,116 台北市文山區興隆路一段13號,02-29312829,00:00-24:00
D2152,中和站,235 新北市中和區中和路260號,02-22493364,00:00-24:00
D2154,金山南路站,106 台北市大安區金山南路二段77號,02-23518346,07:00-24:00
D2157,復興北路站,105 台北市松山區復興北路31號,02-27112342,07:00-23:00
