站代號,站名,地址,電話,提供服務時段
D2046,萬里站,207 新北市萬里區龜吼里美崙31-1號,02-24922019,07:00-21:00
D2047,六堵站,206 基隆市七堵區明德二路28號,02-24512006,06:30-22:30
D2053,安樂站,204 基隆市安樂區麥金路441號,02-24311788,00:00-24:00
D2140,中崙站,104 台北市中山區八德路二段214號,02-27712548,00:00-24:00
D2142,北投站,112 台北市北投區承德路七段384號,02-28201203,00:00-24:00
D214G,福林站 ,111 台北市士林區中山北路五段465號,02-28812420,00:00-24:00
D214H,中央北路站,112 台北市北投區中央北路四段584號,02-28913744,00:00-24:00
D214N,坪林站,232 新北市坪林區北宜路八段61號,02-26656081,07:00-21:00
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,00:00-24:00
D214X,西湖,114 台北市內湖區內湖路一段59號,02-27992147,07:00-23:00
D214Z,新莊站,242 新北市新莊區中正路338號,02-29965736,00:00-24:00
D2151,萬隆站,116 台北市文山區興隆路一段13號,02-29312829,00:00-24:00
D2157,復興北路站,105 台北市松山區復興北路31號,02-27112342,07:00-23:00
D2158,泰山站,243 新北市泰山區泰林路二段424號,02-29097921,07:00-22:00
D215A,屈尺站,231 新北市新店區新烏路2段202號,02-26668137,07:00-22:00
D215H,板橋民族路站,220 新北市板橋區民族路90號,02-29536247,00:00-24:00
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,00:00-24:00
D215K,蘆洲站,新北市蘆洲區三民路99號,02-22812333,00:00-24:00
D215N,鶯歌站,239 新北市鶯歌區文化路152號,02-26792944,00:00-24:00
D215R,新店北新路站,231 新北市新店區北新路一段90號,02-29180305,00:00-24:00
D215T,莒光路站,100 台北市中正區莒光路2號,02-23028385,00:00-24:00
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,00:00-24:00
D215W,東湖站,114 台北市內湖區康寧路三段225號,02-26311524,07:00-22:00
D2165,民生東路站,105 台北市松山區三民路126號,02-27671664,00:00-24:00
D2169,富陽街站,106 台北市大安區富陽街129號,02-27324229,00:00-24:00
D216F,永和永利路站,234 新北市永和區永利路69號,02-29212541,00:00-24:00
D216J,大埔站,237 新北市三峽區中正路二段165號,02-26710050,07:00-23:00
D216L,大直站,104 台北市中山區明水路661號,02-25320154,00:00-24:00
D216R,埔墘站,220 新北市板橋區中山路二段320號,02-29553436,00:00-24:00
D216U,內湖麗山街站,114 台北市內湖區內湖路一段362號,02-26577339,00:00-24:00
D216V,淡海新市鎮站,251 新北市淡水區埤島里二鄰淡金路2段599號,02-26228923,00:00-24:00
D2170,五股站,248 新北市五股區中興路四段21號,02-22917541,00:00-24:00
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,00:00-24:00
D2173,土城廣福路站,236 新北市土城區四川路１號,02-89672580,00:00-24:00
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,00:00-24:00
D2176,光復北路站,105 台北市松山區光復北路13號,02-27674900,00:00-24:00
D2179,積穗站,235 新北市中和區中山路二段550號,02-22219719,00:00-24:00
D217K,濱江大直橋加油加氣站,105 台北市松山區濱江街373號,02-25177975,00:00-24:00
D234C,武陵站,330 桃園市桃園區中山路1020號,03-3604492,07:00-22:00
D234D,中山路站,330 桃園市桃園區中山路522號,03-3323504,00:00-24:00
D234F,迴龍站,333 桃園市龜山區龍壽里萬壽路一段383號,02-82093915,00:00-24:00
D234H,龜山站,333 桃園市龜山區萬壽路二段640號,03-3296223,00:00-24:00
D234M,蘆竹站,338 桃園市蘆竹區錦興里中正路342號,03-3224714,00:00-24:00
D234N,三民路站,330 桃園市桃園區三民路一段150號,03-3348425,00:00-24:00
D234T,桃園機場第三站,337 桃園市大園區埔心里航勤南路2號,03-3834374,07:00-22:00
D234Y,平鎮站,324 桃園市平鎮區延平路二段152號,03-4934734,00:00-24:00
D234Z,埔心站,326 桃園市楊梅區中山北路二段308號,03-4826370,00:00-24:00
D235C,梅溪加油加氣站,326 桃園市楊梅區中山北路一段391號,03-4782632,00:00-24:00
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,00:00-24:00
D235J,龍潭站,325 桃園市龍潭區北龍路264號,03-4792614,00:00-24:00
D235L,介壽路站,330 桃園市桃園區介壽路324號,03-3615070,00:00-24:00
D235Q,中壢工業區加油加氣站,320 桃園市中壢區中華路二段230號,03-4521948,00:00-24:00
D235V,大溪站,335 桃園市大溪區瑞興里20鄰瑞安路一段268號,03-3801304,07:00-21:00
D235Y,復興站,336 桃園市復興區澤仁里中正路267號,03-3822939,07:00-21:00
D2386,中壢服務區站,320 桃園市中壢區內定里20鄰內定二街998-6號,03-4622920,00:00-24:00
D4140,彰化站,500 彰化縣彰化市和調里中山路三段27號,04-7222759,00:00-24:00
D4148,二林站,526 彰化縣二林鎮豐田里二溪路一段212號,04-8960049,00:00-24:00
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,07:00-22:00
D414N,國姓站,544 南投縣國姓鄉福龜村中正路一段55號,049-2721240,07:00-22:00
D414Y,台中工業區加油加氣站,407 台中市西屯區福和里臺灣大道四段1047號,04-23592968,00:00-24:00
D414Z,社頭站,511 彰化縣社頭鄉員集路二段583號,04-8732534,00:00-24:00
D4150,埔里站,545 南投縣埔里鎮中山路三段172號,049-2982403,00:00-24:00
D4165,北斗站,521 彰化縣北斗鎮大道里中山路二段207號,04-8882154,00:00-24:00
D4169,南投站,540 南投縣南投市三民里彰南路二段71號,049-2222650,06:30-21:30
D416F,昌平路站,406 台中市北屯區昌平路一段95號,04-22348061,07:00-22:00
D416R,石岡豐勢路站,422 台中市石岡區九房里明德路2號,04-25722984,00:00-24:00
D416V,五權西路站,402 台中市南屯區五權西路二段566號,04-23893367,00:00-24:00
D416W,松竹路站,406 台中市北屯區松和里松竹路二段４２７號,04-22451915,00:00-24:00
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,00:00-24:00
D4172,公園路站,404 台中市北區三民路三段50號,04-22237535,00:00-24:00
D4177,秀水站,504 彰化縣秀水鄉安東村彰水路一段30號,04-7692141,07:00-22:00
D4180,豐原交流道站,429 台中市神岡區岸裡里中山路88號,04-25228204,00:00-24:00
D4241,橫山站,312 新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,07:00-21:00
D4242,竹東站,310 新竹縣竹東鎮東寧路一段2號,03-5962447,00:00-24:00
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,07:00-22:00
D426G,中苗站,360 苗栗縣苗栗市中正路442號,037-326764,00:00-24:00
D426W,頭份站,351 苗栗縣頭份市自強路2號,037-663242,00:00-24:00
D426Z,中正路站,350 苗栗縣竹南鎮中正路120號,037-463428,00:00-24:00
D434V,斗六南環路站,640 雲林縣斗六市文化路522號,05-5339692,00:00-24:00
D4351,斗南站,630 雲林縣斗南鎮延平路二段165號,05-5972320,00:00-24:00
D435J,義和站,647 雲林縣莿桐鄉義和村三和37-5號,05-5844090,00:00-24:00
D4374,竹崎站,604 嘉義縣竹崎鄉和平村田寮52號,05-2611714,00:00-24:00
D43W2,雅虎站,雲林縣斗六市虎溪里西平路776號,05-5514796,00:00-24:00
D504I,公園路站,704 台南市北區公園路721號,06-2517454,00:00-24:00
D506B,大湖站,829 高雄市湖內區大湖里中山路一段72號,07-6931793,00:00-24:00
D506X,玉井站,714 台南市玉井區玉田里中山路91號,06-5742476,06:30-21:30
D5141,中正四路站,801 高雄市前金區中正四路251號,07-2212453,07:00-23:00
D5143,枋寮站,940 屏東縣枋寮鄉新龍村中山路319號,08-8782060,07:00-21:00
D5147,左營站,813 高雄市左營區中華一路2-11號,07-5825621,00:00-24:00
D514H,公園路站,900 屏東縣屏東市民權路74號,08-7325794,07:00-23:00
D514J,中華三路站,801 高雄市前金區中華三路136號,07-2851354,00:00-24:00
D514K,建工路站,807 高雄市三民區建工路566號,07-3832928,00:00-24:00
D514L,五甲站,830 高雄市鳳山區五甲一路232號,07-7460364,00:00-24:00
D5154,成功一路站,801 高雄市前金區成功一路384號,07-2218734,07:00-23:00
D5157,東港站,928 屏東縣東港鎮興東里中正路一段85號,08-8322352,00:00-24:00
D515A,林森二路站,800 高雄市新興區新田路82號,07-2819638,07:00-23:00
D5160,里港站,905 屏東縣里港鄉大平村中山南路25號,08-7752054,00:00-24:00
D5163,萬丹站,913 屏東縣萬丹鄉萬丹路一段399號,08-7772142,06:30-22:00
D5164,橋頭站,825 高雄市橋頭區橋頭里成功北路15號,07-6113644,07:00-22:00
D5166,中正三路站,800 高雄市新興區中正三路9號,07-2261045,07:00-23:00
D516L,墾丁站,946 屏東縣恆春鎮墾丁里墾丁路402號,08-8861408,07:00-21:00
D516V,南鼓山站,804 高雄市鼓山區捷興二街46號,07-5517556,07:00-22:00
