站代號,站名,地址,電話,提供服務時段,愛心洗車站
D2045,金山站,208 新北市金山區中山路385號,02-24982553,07:00-21:00,否
D2046,萬里站,207 新北市萬里區龜吼里美崙31-1號,02-24922019,07:00-21:00,否
D2048,瑞芳站,224 新北市瑞芳區中山路200號,02-24972341,07:00-21:00,否
D2050,西定路站,203 基隆市中山區西定路190號,02-24226918,07:00-20:30,否
D2053,安樂站,204 基隆市安樂區麥金路441號,02-24311788,07:00-22:00,否
D2061,東明路站,201 基隆市信義區東明路138號,02-24660611,08:00-18:00,是
D2140,中崙站,104 台北市中山區八德路二段214號,02-27712548,星期一~星期日09:00-18:30,是
D2142,北投站,112 台北市北投區承德路七段384號,02-28201203,07:30-19:00(週四07:30~17:00),否
D2146,汐止站,221 新北市汐止區大同路一段353號,02-26412246,9:00~17:00(週一至週日),否
D214G,福林站 ,111 台北市士林區中山北路五段465號,02-28812420,8:00~17:00(週一至週日),是
D214H,台北營業處北投中央北路加油站,112 台北市北投區中央北路四段584號,02-28913744,自助洗車,否
D214J,寶橋站,231 新北市新店區寶橋路219號,02-29111965,8:00~17:30(週一至日),是
D214K,龍安站,106 台北市大安區和平東路二段2號,02-23631735,7:00~21:00(週一至週日),否
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,9:00~16:30(週一至日),否
D214Z,台北營業處新莊加油站,242 新北市新莊區中正路338號,02-29965736,自助洗車,否
D2151,萬隆站,116 台北市文山區興隆路一段13號,02-29312829,7:00~21:00(週一至日),是
D2156,台北營業處陽明山加油站,111 台北市士林區陽明山格致路3號,02-28616052,自助洗車,否
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,8:00~18:00(週一至週日),是
D215K,蘆洲站,新北市蘆洲區三民路99號,02-22812333,8:00~17:00(週一至日),否
D215M,台北營業處三峽加油站,237 新北市三峽區介壽路一段193號,02-26711123,自助洗車,否
D215N,鶯歌站,239 新北市鶯歌區文化路152號,02-26792944,8:30~17:30(週一至五)；9:00~17:00(週六至日),否
D215R,新店北新路站,231 新北市新店區北新路一段90號,02-29180305,8:00~20:00(週一至日),否
D215T,莒光路站,100 台北市中正區莒光路2號,02-23028385,7:00~21:00(週一至日),否
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,9:00~17:00(週一至日),否
D215W,東湖站,114 台北市內湖區康寧路三段225號,02-26311524,9:00~19:00(週一至日),是
D215Y,鶯桃路站,239 新北市鶯歌區建國路608號,02-26792083,8:00~17:00(週一至日),否
D2160,台北營業處樹林加油站,新北市樹林區樹新路207號,02-26812405,自助洗車,否
D216H,蘆洲中山二路站,新北市蘆洲區中山二路309號,02-22859867,7:00~20:00(週一至日),否
D216J,大埔站,237 新北市三峽區中正路二段165號,02-26710050,8:00~17:00(週一至四)；8:00~19:00(週五至日),否
D216L,大直站,104 台北市中山區明水路661號,02-25320154,8:00~18:00(週一至五),否
D216R,埔墘站,220 新北市板橋區中山路二段320號,02-29553436,8:30~21:30(週一至日),否
D216V,淡海新市鎮站,251 新北市淡水區埤島里二鄰淡金路2段599號,02-26228923,8:00~20:30(週一至日),否
D2170,五股站,248 新北市五股區中興路四段21號,02-22917541,9:00~17:00(週一至日),否
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,8:00~17:30(週一至日),是
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,7:00~21:00(週一至日),否
D2177,台北營業處新店大豐加油站,231 新北市新店區北新路二段205號,02-29117053,,否
D2179,積穗站,235 新北市中和區中山路二段550號,02-22219719,9:00~17:00(週二至日),否
D217F,台北營業處新店中正路加油站,新北市新店區中正路470號,02-22192678,7:00~19:00(週一至日),否
D234C,武陵站,330 桃園市桃園區中山路1020號,03-3604492,08:00-12:00 13:00-18:00,否
D234G,林口工三,333 桃園市龜山區樂善里文化一路33號,03-3282232,07:00-21:00,否
D234H,龜山站,333 桃園市龜山區萬壽路二段640號,03-3296223,09:00-21:00,否
D234M,蘆竹站,338 桃園市蘆竹區錦興里中正路342號,03-3224714,08:00-20:00,否
D234N,三民路站,330 桃園市桃園區三民路一段150號,03-3348425,08:00-20:00,否
D234T,桃園機場第三站,337 桃園市大園區埔心里航勤南路2號,03-3834374,00:00-24:00,否
D234V,大園站,337 桃園市大園區中正東路58號,03-3862243,08:00-19:00,否
D234W,桃園營業處大竹加油站,338 桃園市蘆竹區大竹里大竹路503號,03-3232425,,否
D234X,春日路站,330 桃園市桃園區春日路971號,03-3550381,08:00-19:00,否
D234Y,平鎮站,324 桃園市平鎮區延平路二段152號,03-4934734,00:00-24:00,否
D235C,梅溪加油加氣站,326 桃園市楊梅區中山北路一段391號,03-4782632,08:00-17:00,否
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,08:00-17:00,否
D235E,建龍站,325 桃園市龍潭區烏林里中豐路716號,03-4792578,09:00-17:00,否
D235F,新坡站,328 桃園市觀音區大同里中山路二段794號,03-2825887,07:00-21:00,否
D235M,八德站,桃園市八德區竹園里長興路556號,03-3651042,07:00-22:00,否
D235Q,中壢工業區加油加氣站,320 桃園市中壢區中華路二段230號,03-4521948,08:00-20:00,否
D235R,中壢工二站,320 桃園市中壢區吉林路37巷15號,03-4620443,08:00-20:00,否
D235U,龍岡站,320 桃園市中壢區環中東路二段659號,03-4592501,07:30-19:30,是
D237Y,廣豐站,326 桃園市楊梅區大平里中山南路259號,03-4786145,07:00-21:00,否
D2386,中壢服務區站,320 桃園市中壢區內定里20鄰內定二街998-6號,03-4622920,07:00-21:00,否
