加油站代號,加油站名稱,加油站地址,加油站電話,煤油品項,是否有庫存
D2041,八堵加油加氣站,205基隆市暖暖區八堵路158號,02-24560524,20L聽裝煤油 (026,是
D2042,中正三路站,202基隆市中正區中正路459號,02-24622381,20L聽裝煤油 (026,是
D2044,祥豐街站,202基隆市中正區祥豐街108號,02-24627356,20L聽裝煤油 (026,否
D2045,金山站,208新北市金山區中山路385號,02-24982553,20L聽裝煤油 (026,是
D2046,萬里站,207新北市萬里區龜吼里美崙31-1號,02-24922019,20L聽裝煤油 (026,是
D2047,六堵站,206基隆市七堵區明德二路28號,02-24512006,20L聽裝煤油 (026,是
D2048,瑞芳站,224新北市瑞芳區中山路200號,02-24972341,20L聽裝煤油 (026,是
D2049,成功一路站,200基隆市仁愛區成功一路105號,02-24316683,20L聽裝煤油 (026,是
D2050,西定路站,203基隆市中山區西定路190號,02-24226918,20L聽裝煤油 (026,是
D2052,三芝站,252新北市三芝區埔頭里31鄰埔頭15號,02-26362403,20L聽裝煤油 (026,是
D2053,安樂站,204基隆市安樂區麥金路441號,02-24311788,20L聽裝煤油 (026,是
D2054,澳底站,228新北市貢寮區真理里美艷山街6-2號,02-24901501,20L聽裝煤油 (026,是
D2055,海濱站,224新北市瑞芳區海濱路157-2號,02-24973124,20L聽裝煤油 (026,是
D2056,碇內站,205基隆市暖暖區源遠路157號,02-24577214,20L聽裝煤油 (026,是
D2057,北寧路站,202基隆市中正區北寧路37號,02-24628621,20L聽裝煤油 (026,是
D2058,大武崙站,204基隆市安樂區基金三路2-1號,02-24321537,20L聽裝煤油 (026,是
D2059,八德路站,206基隆市七堵區八德路2-15號,02-24562643,20L聽裝煤油 (026,是
D2060,保長坑站,221新北市汐止區大同路三段186-1號,02-86485318,20L聽裝煤油 (026,是
D2061,東明路站,201基隆市信義區東明路138號,02-24660611,20L聽裝煤油 (026,是
D2140,中崙站,104台北市中山區八德路二段214號,02-27712548,20L聽裝煤油 (026,是
D2141,三重重新路站,241新北市三重區重新路五段495號,02-29953683,20L聽裝煤油 (026,否
D2142,北投站,112台北市北投區承德路七段384號,02-28201203,20L聽裝煤油 (026,是
D2144,基隆路站,106台北市大安區基隆路二段162號,02-27383992,20L聽裝煤油 (026,是
D2146,汐止站,221新北市汐止區大同路一段353號,02-26412246,20L聽裝煤油 (026,是
D2147,社子站,111台北市士林區重慶北路四段198號,02-28122647,20L聽裝煤油 (026,是
D2149,民權西路站,103台北市大同區民權西路194號,02-25575809,20L聽裝煤油 (026,否
D214F,菜寮站,241新北市三重區重新路三段157號,02-29843153,20L聽裝煤油 (026,是
D214G,福林站 ,111台北市士林區中山北路五段465號,02-28812420,20L聽裝煤油 (026,是
D214H,中央北路站,112台北市北投區中央北路四段584號,02-28913744,20L聽裝煤油 (026,是
D214J,寶橋站,231新北市新店區寶橋路219號,02-29111965,20L聽裝煤油 (026,是
D214K,龍安站,106台北市大安區和平東路二段2號,02-23631735,20L聽裝煤油 (026,是
D214L,百齡四路加油加氣站,112台北市北投區承德路六段427號,02-28201427,20L聽裝煤油 (026,是
D214M,忠孝東路站,105台北市信義區忠孝東路五段69號,02-27622418,20L聽裝煤油 (026,是
D214N,坪林站,232新北市坪林區北宜路八段61號,02-26656081,20L聽裝煤油 (026,是
D214R,內湖站,114台北市內湖區民權東路六段50號,02-27920678,20L聽裝煤油 (026,是
D214T,八里站,249新北市八里區中山路一段1號,02-26104191,20L聽裝煤油 (026,是
D214X,西湖,114台北市內湖區內湖路一段59號,02-27992147,20L聽裝煤油 (026,是
D214Y,建國北路站,104台北市中山區建國北路三段91號之1,02-25014338,20L聽裝煤油 (026,是
D214Z,新莊站,242新北市新莊區中正路338號,02-29965736,20L聽裝煤油 (026,否
D2150,木柵站,116台北市文山區木柵路三段2號,02-29392990,20L聽裝煤油 (026,是
D2151,萬隆站,116台北市文山區興隆路一段13號,02-29312829,20L聽裝煤油 (026,是
D2152,中和站,235新北市中和區中和路260號,02-22493364,20L聽裝煤油 (026,是
D2153,淡水站,251新北市淡水區中正東路1號,02-26212343,20L聽裝煤油 (026,是
D2154,金山南路站,106台北市大安區金山南路二段77號,02-23518346,20L聽裝煤油 (026,是
D2156,陽明山站,111台北市士林區陽明山格致路3號,02-28616052,20L聽裝煤油 (026,是
D2157,復興北路站,105台北市松山區復興北路31號,02-27112342,20L聽裝煤油 (026,是
D2158,泰山站,243新北市泰山區泰林路二段424號,02-29097921,20L聽裝煤油 (026,是
D2159,新生南路站,106台北市大安區仁愛路三段1號,02-27112316,20L聽裝煤油 (026,是
D215A,屈尺站,231新北市新店區新烏路2段202號,02-26668137,20L聽裝煤油 (026,是
D215E,林口站,244新北市林口區中山路１號,02-26015017,20L聽裝煤油 (026,是
D215H,板橋民族路站,220新北市板橋區民族路90號,02-29536247,20L聽裝煤油 (026,是
D215J,南港站,115台北市南港區南港路二段50號,02-27822408,20L聽裝煤油 (026,是
D215K,蘆洲站,   新北市蘆洲區三民路99號,02-22812333,20L聽裝煤油 (026,是
D215L,環河南路站,108台北市萬華區環河南路二段274之2及177之1,02-23040528,20L聽裝煤油 (026,是
D215M,三峽站,237新北市三峽區介壽路一段193號,02-26711123,20L聽裝煤油 (026,否
D215N,鶯歌站,239新北市鶯歌區文化路152號,02-26792944,20L聽裝煤油 (026,是
D215R,新店北新路站,231新北市新店區北新路一段90號,02-29180305,20L聽裝煤油 (026,否
D215T,莒光路站,100台北市中正區莒光路2號,02-23028385,20L聽裝煤油 (026,是
D215V,泰新加油加氣站,243新北市泰山區新北大道五段1號,02-29094220,20L聽裝煤油 (026,否
D215W,東湖站,114台北市內湖區康寧路三段225號,02-26311524,20L聽裝煤油 (026,是
D215X,新莊大漢橋站,242新北市新莊區思源路41-1號,02-29977573,20L聽裝煤油 (026,是
D215Y,鶯桃路站,239新北市鶯歌區建國路608號,02-26792083,20L聽裝煤油 (026,是
D215Z,三多站,   新北市樹林區中正路433號,02-26886405,20L聽裝煤油 (026,是
D2160,樹林站,   新北市樹林區樹新路207號,02-26812405,20L聽裝煤油 (026,是
D2161,二重站,241新北市三重區重新路五段652號,02-29950790,20L聽裝煤油 (026,是
D2162,桂林路站,108台北市萬華區桂林路53號,02-23819053,20L聽裝煤油 (026,是
D2163,信義路站,106台北市大安區信義路四段374號,02-27081235,20L聽裝煤油 (026,是
D2164,汀州路站,100台北市中正區汀州路三段１號,02-23655595,20L聽裝煤油 (026,是
D2165,民生東路站,105台北市松山區三民路126號,02-27671664,20L聽裝煤油 (026,是
D2167,松山路站,110台北市信義區松山路480號,02-27297328,20L聽裝煤油 (026,是
D2168,文林路站,111台北市士林區文林路100號,02-28817934,20L聽裝煤油 (026,是
D2169,富陽街站,106台北市大安區富陽街129號,02-27324229,20L聽裝煤油 (026,是
D216A,吉林路站,104台北市中山區吉林路31號,02-25417952,20L聽裝煤油 (026,是
