站代號,站名,地址,電話,提供服務時段
D2140,中崙站,104 台北市中山區八德路二段214號,02-27712548,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2146,汐止站,221 新北市汐止區大同路一段353號,02-26412246,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,09:00-21:00(星期一~星期五)、09:00-16:30(星期六)
D2157,復興北路站,105 台北市松山區復興北路31號,02-27112342,07:00-21:00(星期一~星期五)、09:00-16:30(星期六、日)
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D2160,樹林站,新北市樹林區樹新路207號,02-26812405,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,09:00-18:00(星期一~星期五)、09:00-17:00(每月單週星期六)
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,07:00-20:30(星期一~星期五)、08:00-16:00(星期六)
D4258,東林路站,310 新竹縣竹東鎮東林路105號,03-5957003,09:00-18:00(星期一~星期五)、09:00-17:00(星期六)
D4343,信義路站,600 嘉義市西區博愛路二段519號,05-2359381,08:00-18:00(星期一~星期五)、09:00-17:00(星期六)
D4346,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,08:00-18:00(星期一~星期五)、09:00-17:00(星期六)
D507H,成功路站,704 台南市北區成功路16號,06-2222894,09:00-19:00(星期一~星期五)、09:00-19:00(星期六)
D507N,大同路站,702 台南市南區大同路二段380號,06-2153503,09:00-19:00(星期一~星期五)、09:00-19:00(星期六)
D5171,建國一路站,802 高雄市苓雅區建國一路142號,07-7518715,09:00-17:30(星期一~星期六)
D6160,羅東站,268 宜蘭縣五結鄉中正路二段94號,03-9654651,09:00-21:00(星期一二四五六)、09:00-17:00(星期三)
